STATISTIC Label,year,month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1923,July,Base November 1975=100,Base = 100,
Consumer Price Index,1923,July,Base November 1982=100,Base = 100,
Consumer Price Index,1923,July,Base November 1989=100,Base = 100,
Consumer Price Index,1923,July,Base November 1996=100,Base = 100,
Consumer Price Index,1923,July,Base December 2001=100,Base = 100,
Consumer Price Index,1923,July,Base December 2006=100,Base = 100,
Consumer Price Index,1923,July,Base December 2011=100,Base = 100,
Consumer Price Index,1923,July,Base December 2016=100,Base = 100,
Consumer Price Index,1923,July,Base December 2023=100,Base = 100,
Consumer Price Index,1923,August,Base July 1914=100,Base = 100,180
Consumer Price Index,1923,August,Base August 1947=100,Base = 100,
Consumer Price Index,1923,August,Base August 1953=100,Base = 100,
Consumer Price Index,1923,August,Base November 1968=100,Base = 100,
Consumer Price Index,1923,August,Base November 1975=100,Base = 100,
Consumer Price Index,1923,August,Base November 1982=100,Base = 100,
Consumer Price Index,1923,August,Base November 1989=100,Base = 100,
Consumer Price Index,1923,August,Base November 1996=100,Base = 100,
Consumer Price Index,1923,August,Base December 2001=100,Base = 100,
Consumer Price Index,1923,August,Base December 2006=100,Base = 100,
Consumer Price Index,1923,August,Base December 2011=100,Base = 100,
Consumer Price Index,1923,August,Base December 2016=100,Base = 100,
Consumer Price Index,1923,August,Base December 2023=100,Base = 100,
Consumer Price Index,1923,September,Base July 1914=100,Base = 100,180
Consumer Price Index,1923,September,Base August 1947=100,Base = 100,
Consumer Price Index,1923,September,Base August 1953=100,Base = 100,
Consumer Price Index,1923,September,Base November 1968=100,Base = 100,
Consumer Price Index,1923,September,Base November 1975=100,Base = 100,
Consumer Price Index,1923,September,Base November 1982=100,Base = 100,
Consumer Price Index,1923,September,Base November 1989=100,Base = 100,
Consumer Price Index,1923,September,Base November 1996=100,Base = 100,
Consumer Price Index,1923,September,Base December 2001=100,Base = 100,
Consumer Price Index,1923,September,Base December 2006=100,Base = 100,
Consumer Price Index,1923,September,Base December 2011=100,Base = 100,
Consumer Price Index,1923,September,Base December 2016=100,Base = 100,
Consumer Price Index,1923,September,Base December 2023=100,Base = 100,
Consumer Price Index,1923,October,Base July 1914=100,Base = 100,186
Consumer Price Index,1923,October,Base August 1947=100,Base = 100,
Consumer Price Index,1923,October,Base August 1953=100,Base = 100,
Consumer Price Index,1923,October,Base November 1968=100,Base = 100,
Consumer Price Index,1923,October,Base November 1975=100,Base = 100,
Consumer Price Index,1923,October,Base November 1982=100,Base = 100,
